Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
26     36     62     -537.146848             0.12769        0.0            255       YES            
32     70     102    -744.831987             0.248459       0.0            259       YES            
34     78     112    -795.000268             0.193268       0.0            263       YES            
36     32     68     -547.313241             -0.193604      0.0            266       YES            
40     56     96     -830.503792             -0.001638      0.0            270       YES            
40     58     98     -841.544022             -0.002068      0.0            274       YES            
40     60     100    -850.69313              0.355169       0.0            279       YES            
42     58     100    -860.614549             -0.00254       0.0            282       YES            
42     74     116    -941.277288             -0.174143      0.0            286       YES            
42     104    146    -974.772776             0.164041       0.0            291       YES            
52     58     110    -920.023427             0.17278        0.0            295       YES            
52     72     124    -1049.793031            0.167927       0.0            299       YES            
54     54     108    -873.279556             0.183171       0.0            303       YES            
54     56     110    -898.829871             0.204791       0.0            307       YES            
54     58     112    -922.69961              0.231766       0.0            311       YES            
54     72     126    -1064.139451            0.218348       0.0            315       YES            
54     74     128    -1080.48423             0.180296       0.0            320       YES            
54     88     142    -1166.706961            -0.076207      0.0            322       YES            
54     90     144    -1175.300601            0.182361       0.0            328       YES            
56     54     110    -869.424313             0.20699        0.0            331       YES            
56     56     112    -897.160113             0.229692       0.0            335       YES            
56     58     114    -923.081156             0.273821       0.0            339       YES            
56     90     146    -1198.001395            0.203991       0.0            352       YES            
58     54     112    -863.342552             0.232623       0.0            355       YES            
58     56     114    -893.067903             0.267069       0.0            359       YES            
58     90     148    -1218.219844            0.241289       0.0            372       YES            
60     62     122    -976.366966             0.390499       0.0            19        YES            
60     88     148    -1223.849347            0.17951        0.0            380       YES            
60     136    196    -1364.850419            -0.085825      0.0            381       YES            
62     86     148    -1225.629474            -0.061963      0.0            386       YES            
62     88     150    -1238.337524            0.208794       0.0            392       YES            
62     90     152    -1252.649069            0.276465       0.0            395       YES            
62     132    194    -1401.38504             -0.046092      0.0            398       YES            
62     134    196    -1401.985088            -0.064102      0.0            402       YES            
62     136    198    -1402.478618            -0.089395      0.0            406       YES            
